city_id,state_id,city_name,top_city,city_rating
224,0,kaithal,0,0
225,0,navsari,0,0
226,0,ghazipur,0,0
227,0,ssdddd,0,0
228,0,bikaner,0,0
229,17,Malappuram,0,4
230,0,Haridwar(Uttarakhand),0,0
231,0,Tirukoilur,0,0
232,0,Punjab(Gurdaspur),0,0
233,0,Balurghat,0,0
234,0,"bettiah bihar",0,0
235,0,Namakkal,0,0
236,0,neyveli,0,0
237,0,ANOOPGARH(RAJASTHAN),0,0
238,0,Singapore,0,0
239,0,Jind,0,0
240,0,YY5TE,0,0
241,0,"SAGAR ",0,0
242,0,f6L8j,0,0
243,0,Bhadrak,0,0
244,0,UK,0,0
245,0,"Dibrugarh, P.O- Rajgarh",0,0
246,0,Nainital,0,0
247,0,hanumangarh,0,0
248,0,srikakulam,0,0
249,0,"kansbahal,  orissa",0,0
250,0,Pilani,0,0
251,0,5mdYF,0,0
252,0,Tharad,0,0
253,0,PURNEA,0,0
254,0,saharanpur,0,0
255,0,basti,0,0
256,0,Yemmiganur-kurnool,0,0
257,0,azamgarh,0,0
258,0,HARDOI,0,0
259,0,DHARMAPURI,0,0
260,0,PANTNAGAR,0,0
261,0,rampur,0,0
262,0,BHIMAVARAM,0,0
263,0,aswapuram,0,0
264,0,sirsi,0,0
265,0,"Orissa,balasore",0,0
266,0,"RAYAGADA,ORISSA",0,0
267,0,jalpaiguri,0,0
268,0,"bhawanathpur township",0,0
269,0,"Baddi (HP)",0,0
270,0,haridwar(uttaranchal),0,0
271,0,Bhubaneswar,0,0
272,0,khammam,0,0
273,0,Mirzapur,0,0
274,0,sitapur,0,0
275,0,tirupur,0,0
276,0,Malerkotla,0,0
277,0,dindigul,0,0
278,0,panna,0,0
279,0,dhenkanal,0,0
280,0,Hoshiarpur,0,0
281,0,Balasore,0,0
282,0,"Barmer (Rajasthan)",0,0
283,0,Bangkok,0,0
284,0,"bikaner, rajasthan",0,0
285,0,Hooghly,0,0
286,0,"SITAPUR (U.P.)",0,0
287,0,"Haldwni Uttrakhand",0,0
288,0,bANKURA,0,0
289,0,Sonipat(Haryana),0,0
290,0,YANAM,0,0
291,0,"saharanpur (up)",0,0
292,0,"Nanded , Maharashtra",0,0
293,0,gaya,0,0
294,0,sirsa,0,0
295,0,"Nalagarh (HP)",0,0
296,0,"kanchipuram,tamilnadu",0,0
297,0,Batala,0,0
298,0,"korba, Chhattishgarh",0,0
299,0,Thiruvarur,0,0
300,0,sambalpur,0,0
301,0,bargarh,0,0
302,0,Udupi,0,0
303,0,Jaunpur,0,0
304,0,Damoh[M.P],0,0
305,0,rishikesh,0,0
306,0,Pulivendla,0,0
307,0,chidambaram,0,0
308,0,vidisha,0,0
309,0,Davanagere,0,0
310,17,Kasaragod,0,4
311,0,"modinagar,ghaziabad",0,0
312,0,Karimpur,0,0
313,0,"almora, uttaranchal",0,0
314,0,"Koraput, Orissa",0,0
315,0,Darjeeling,0,0
316,0,buxar,0,0
317,0,Gandhidham,0,0
318,0,modinagar,0,0
319,0,"bharatpur (rajasthan)",0,0
320,0,ranikhet,0,0
321,0,Sivaganga,0,0
322,0,kichha,0,0
323,0,sultanpur,0,0
324,0,Bhilwara,0,0
325,0,Betul,0,0
326,0,hazaribagh,0,0
327,0,Jhansi(U.P.),0,0
328,0,"Rewari, haryana",0,0
329,0,"MUZAFFARPUR,BIHAR",0,0
330,0,Alwar(NCR),0,0
331,0,"PRAKASAM,AP",0,0
332,0,Deoghar,0,0
333,0,Alipurduar,0,0
334,0,satna,0,0
335,0,"Muzaffar Nagar",0,0
336,0,singhana(Rajasthan),0,0
337,0,berhampur,0,0
338,0,LALITPUR,0,0
339,0,"gohana,haryana",0,0
340,0,"Bhowali (Nainital)",0,0
341,0,Bhiwadi,0,0
342,0,Dewas,0,0
343,0,TUMKUR,0,0
344,0,Fatehabad,0,0
345,0,kanigiri,0,0
346,0,"kadapa, Andhrapradesh",0,0
347,0,JAMUI,0,0
348,0,Harihar,0,0
349,0,Chittorgarh,0,0
350,0,pehowa,0,0
351,0,AURAIYA,0,0
352,0,BALLIA,0,0
353,0,Akola,0,0
354,0,rewa,0,0
355,0,"balco korba",0,0
356,0,sangrur,0,0
357,0,TIRUTTANI,0,0
358,0,Ratlam,0,0
359,0,balrampur,0,0
360,0,MARTHANDAM,0,0
361,0,rampurhat,0,0
362,0,jhunjhun(rajasthan),0,0
363,0,BIJNOR(U.P.),0,0
364,0,Barara,0,0
365,0,"CHNADRAPUR (MAHARASTRA)",0,0
366,0,burla(sambalpur),0,0
367,0,Malda,0,0
368,0,"Bishnupur, Bankura, West Bengal",0,0
369,0,amravati,0,0
370,0,Mandsaur(MP),0,0
371,0,"Gangapur city",0,0
372,0,"Tadepalligudem,Andhra pradesh",0,0
373,0,"jhumri telaiya",0,0
374,0,Bolpur,0,0
375,0,Khatima,0,0
376,0,"jagadhri distt yamunanagar",0,0
377,0,gohana,0,0
378,0,orai,0,0
379,0,lucknow(up),0,0
380,0,Neemuch,0,0
381,0,Wardha,0,0
382,0,manipal,0,0
383,0,sivakasi,0,0
384,0,"ANAND NAGAR",0,0
385,0,Serampore,0,0
386,0,HOSPET,0,0
387,0,datia,0,0
388,0,shimoga,0,0
389,0,bTbF7,0,0
390,0,sonipat,0,0
391,0,hajipur,0,0
392,0,Dongargarh,0,0
393,0,Biharsharif,0,0
394,0,siddhpur,0,0
395,0,shahjahanpur,0,0
396,0,bhavanagar,0,0
397,0,VIZIANAGARAM,0,0
398,0,kadapa,0,0
399,0,Moga,0,0
400,0,krishnagiri,0,0
401,0,khandwa,0,0
402,0,"DEHRI ON SONE(BIHAR)",0,0
403,0,"mohinder garh",0,0
404,0,"Lincoln, Nebraska, USA",0,0
405,0,tirupattur,0,0
406,0,"Thiruvalla,Pathanamthitta(D)",0,0
407,0,NIgeria,0,0
408,0,deoband,0,0
409,0,inkollu,0,0
410,0,jagadhri,0,0
411,0,Khatauli,0,0
412,0,"Greater Noida",0,0
413,0,Navsari-Gujarat,0,0
414,0,TARAKESWAR,0,0
415,0,Karur,0,0
416,0,Kancheepuram,0,0
417,0,SAMASTIPUR,0,0
418,0,Villupuram,0,0
419,0,"sharanpur (Uttar Pradesh)",0,0
420,0,"himachal pardesh",0,0
421,0,ZPG7Y,0,0
422,0,gurdaspur,0,0
423,0,deoria,0,0
424,0,"berhampur,ganjam,orissa",0,0
425,0,Mandi(H.P),0,0
426,0,RATLAM(M.P.),0,0
427,0,Narnaul,0,0
428,0,Nanded,0,0
429,0,Barnala,0,0
430,0,"UNA,HIMACHAL PRADESH",0,0
431,0,shahada,0,0
432,0,"Sri ganganagar",0,0
433,0,Koraput,0,0
434,0,cumbum,0,0
435,0,RAJAPALAYAM,0,0
436,0,kotdwara,0,0
437,0,alwar,0,0
438,0,"PATHANAMTHITTA, KERALA",0,0
439,0,"any city",0,0
440,0,nimbahera,0,0
441,0,jhunjhunu,0,0
442,0,Bina,0,0
443,0,Amreli,0,0
444,0,Midnapore,0,0
445,0,shamli,0,0
446,0,Ranaghat,0,0
447,0,Barmer,0,0
448,0,Soniapt,0,0
449,0,"Aleppey,Kerala",0,0
450,0,jhalawar,0,0
451,0,haveri,0,0
452,0,machilipatnam,0,0
453,0,koppa(chikmagalur),0,0
454,0,Malout,0,0
455,0,orissa/balasore,0,0
456,0,"Firozabad, Uttar Pradesh",0,0
457,0,"Damanjodi,Orissa",0,0
458,0,morena,0,0
459,0,"bargarh,orissa",0,0
460,0,"bikaner (rajasthan)",0,0
461,0,Morbi,0,0
462,0,ferozepur,0,0
463,0,BACHELI,0,0
464,0,Gadag,0,0
465,0,Shahdol-MP,0,0
466,0,"rewa (m.p.)",0,0
467,0,"Diken,Dist.-Neemuch[mp]",0,0
468,0,nagayalanka,0,0
469,0,bangalore,0,0
470,0,Solan,0,0
471,0,"Muzaffarnagar (U.P)",0,0
472,0,"Bikaner rajasthan",0,0
473,0,jharsuguda,0,0
474,0,Kolaghat,0,0
475,0,pudukkottai,0,0
476,0,Khallikote,0,0
477,0,UAE,0,0
478,0,sriganganagar(Rajasthan),0,0
479,33,Kashipur,0,3
480,0,Satara,0,0
481,0,Dandeli,0,0
482,0,"Yamnunagar, Harayana",0,0
483,0,Adra,0,0
484,0,"alwar (rajasthan)",0,0
485,0,Tadepalligudem,0,0
486,0,songadh,0,0
487,0,Sankarankovil,0,0
488,0,"Bhubaneswar, Orissa",0,0
489,0,kanchipuram,0,0
490,0,Rudrapur,0,0
491,0,"Karad(patan) maharastra",0,0
492,0,SANGLI,0,0
493,0,khargone,0,0
494,0,SRIGANGANAGAR,0,0
495,0,Mandsaur,0,0
496,0,"khandwa (M.P.)",0,0
497,0,"malda town",0,0
498,0,"L F j t 5",0,0
499,0,INDIA,0,0
500,0,bharatpur(raj.),0,0
501,0,"Aden, Yemen",0,0
502,0,"Bharatpur, Rajasthan, India",0,0
503,0,Siwan,0,0
504,0,"dewas m.p.",0,0
505,0,coochbehar,0,0
506,0,"KERALA,ALLAPUZHA",0,0
507,0,addanki,0,0
508,0,"Melbourne, Australia ",0,0
509,0,"Nanded, Maharashtra.",0,0
510,0,khurja,0,0
511,0,"CONTAI - West Bengal",0,0
512,0,bharatpur,0,0
513,0,laxmangarh(sikar),0,0
514,0,Bethuadahari,0,0
515,0,Dungarpur,0,0
516,0,tanuku,0,0
517,0,banda,0,0
518,0,gonda,0,0
519,0,bangalore(belgaum),0,0
520,0,"alwar Rajasthan",0,0
521,0,"chhattisgardh rajnandgaon",0,0
522,0,bijapur,0,0
523,0,"Bari, Dholpur",0,0
524,0,z89n2,0,0
525,0,"nagapal/ balasore/orissa",0,0
526,0,"Bhadrak, Orissa",0,0
527,0,qehmw,0,0
528,0,HALDWANI(UTTARAKHAND),0,0
529,0,ratnagiri,0,0
530,0,alwar(rajasthan),0,0
531,0,"rourkela,orissa",0,0
532,0,"gaya,bihar",0,0
533,0,karad(maharastra),0,0
534,0,Baraut,0,0
535,0,k337h,0,0
536,0,Malappurm,0,0
537,0,Jeypore,0,0
538,0,saran,0,0
539,0,"united states",0,0
540,0,rewari,0,0
541,0,"Murshidabad, West Bengal",0,0
542,0,unnao,0,0
543,0,Damoh,0,0
544,0,MAINPURI,0,0
545,0,SYPMb,0,0
546,0,narora,0,0
547,0,Uttaranchal-haldwani,0,0
548,0,"Pilani,Rajasthan",0,0
549,0,Anpara,0,0
550,0,Motihari,0,0
551,0,"Rae Bareli",0,0
552,0,darbhanga,0,0
553,0,"Gevra, dist- korba",0,0
554,0,BERHAMPORE,0,0
555,17,Pathanamthitta,0,4
556,0,chitradurga,0,0
557,0,FAZILKA,0,0
558,0,"kadapa-andhra pradesh",0,0
559,0,"davangere karnataka",0,0
560,0,Dist-Dhamtari,0,0
561,0,Dhule,0,0
562,0,abohar,0,0
